brand,model,2G_bands,3G_bands,4G_bands,weight_g,SIM,display_size(inches),Pixel_height,Pixel_width,OS,CPU(core),internal_memory(GB),RAM(GB),primary_camera(MP),secondary_camera(MP),audio_jack,WIFI,bluetooth,GPS,radio,Battery(Mah),Aprox Price INR
Acer,Iconia Talk S,Yes,Yes,Yes,260,Dual,7,720,1280,Android,4,16,2,13,2,Yes,Yes,Yes,Yes,Yes,3400,13600
Acer,Liquid Z6 Plus,Yes,Yes,Yes,169,Single,5.5,1080,1920,Android,8,32,3,13,5,Yes,Yes,Yes,Yes,Yes,4080,20000
Acer,Liquid Z6,Yes,Yes,Yes,190,Single,5,720,1280,Android,4,8,1,8,2,Yes,Yes,Yes,Yes,Yes,145,9600
Acer,Iconia Tab 10 A3-A40, N/A,No,No,110,No,10.1,1920,120,Android,4,16,2,5,2,Yes,Yes,Yes,No,No,1000,18400
Acer,Liquid X2,Yes,Yes,Yes,166,Triple,5.5,720,1280,Android,8,32,3,13,13,Yes,Yes,Yes,Yes,Yes,4020,18400
Acer,Liquid Jade 2,Yes,Yes,Yes,110,Dual,5.5,1080,1920,Android,6,32,3,21,8,Yes,Yes,Yes,Yes,Yes,1000,9600
Acer,Liquid Zest Plus,Yes,Yes,Yes,110,Single,5.5,720,1280,Android,4,16,2,13,5,Yes,Yes,Yes,Yes,Yes,5000,16000
Acer,Liquid Zest,Yes,Yes,Yes,125,Single,5,720,1280,Android,4,8,1,8,5,Yes,Yes,Yes,Yes,Yes,145,8800
Acer,Predator 8, N/A,No,No,353.8,No,8,1920,120,Android,4,32,2,5,2,Yes,Yes,Yes,No,No,4420,28000
Acer,Liquid Jade Primo,Yes,Yes,Yes,150,Dual,5.5,1080,1920,Microsoft,6,32,3,21,8,Yes,Yes,Yes,Yes,Yes,2870,17600
Acer,Liquid Z330,Yes,Yes,Yes,142,Single,4.5,480,854,Android,4,8,1,5,5,Yes,Yes,Yes,Yes,Yes,145,8800
Acer,Liquid Z320,Yes,Yes,No,142,Single,4.5,480,854,Android,4,8,1,5,2,Yes,Yes,Yes,Yes,Yes,145,7200
Acer,Liquid Z630S,Yes,Yes,Yes,165,Single,5.5,720,1280,Android,8,32,3,8,8,Yes,Yes,Yes,Yes,Yes,4000,9600
Acer,Liquid Z630,Yes,Yes,Yes,165,Single,5.5,720,1280,Android,4,8,1,8,8,Yes,Yes,Yes,Yes,Yes,4000,16000
Acer,Liquid Z530S,Yes,Yes,Yes,145,Single,5,720,1280,Android,8,32,3,8,8,Yes,Yes,Yes,Yes,Yes,2420,9600
Acer,Liquid Z530,Yes,Yes,Yes,145,Single,5,720,1280,Android,4,8,1,8,8,Yes,Yes,Yes,Yes,Yes,2420,12000
Acer,Liquid M330,Yes,Yes,Yes,142,Single,4.5,480,854,Microsoft,4,8,1,5,5,Yes,Yes,Yes,Yes,Yes,145,9600
Acer,Liquid M320,Yes,Yes,No,142,Single,4.5,480,854,Microsoft,4,8,1,5,2,Yes,Yes,Yes,Yes,Yes,145,9600
Acer,Iconia Tab 10 A3-A30, N/A,No,No,540,No,10.1,1920,120,Android,4,16,2,5,2,Yes,Yes,Yes,Yes,No,5910,20000
Acer,Iconia One 8 B1-820, N/A,No,No,355,No,8,800,1280,Android,4,16,1,5,1,Yes,Yes,Yes,Yes,No,4550,14400
Acer,Iconia Tab A3-A20, N/A,No,No,508,No,10.1,1280,800,Android,4,16,1,5,2,Yes,Yes,Yes,Yes,No,5910,15200
Acer,Iconia Tab A3-A20FHD, N/A,No,No,508,No,10.1,1920,120,Android,4,32,2,5,2,Yes,Yes,Yes,Yes,No,5910,18400
Acer,Liquid Jade Z,Yes,Yes,Yes,110,Dual,5,720,1280,Android,4,8,1,13,5,Yes,Yes,Yes,Yes,Yes,2300,16000
Acer,Liquid Z520,Yes,Yes,No,118,Single,5,480,854,Android,4,8,1,8,2,Yes,Yes,Yes,Yes,Yes,145,10400
Acer,Liquid Z220,Yes,Yes,No,120,Single,4,480,800,Android,2,8,1,5,2,Yes,Yes,Yes,Yes,Yes,1300,7200
Acer,Liquid M220,Yes,Yes,No,119,Single,4,480,800,Microsoft,2,4,1,5,2,Yes,Yes,Yes,Yes,Yes,1300,6400
Acer,Liquid Z410,Yes,Yes,Yes,145,Single,4.5,540,960,Android,4,8,1,5,2,Yes,Yes,Yes,Yes,Yes,145,10400
Acer,Liquid Jade S,Yes,Yes,Yes,116,Dual,5,720,1280,Android,8,16,2,13,5,Yes,Yes,Yes,Yes,Yes,2300,16000
Acer,Liquid Z500,Yes,Yes,No,150,Single,5,720,1280,Android,4,4,1,8,2,Yes,Yes,Yes,Yes,Yes,145,12000
Acer,Liquid X1,Yes,Yes,Yes,164,Micro,5.7,720,1280,Android,8,16,2,13,2,Yes,Yes,Yes,Yes,Yes,2700,20800
Acer,Liquid Jade,Yes,Yes,No,110,Dual,5,720,1280,Android,4,8,1,13,2,Yes,Yes,Yes,Yes,Yes,2100,14400
Acer,Liquid E700,Yes,Yes,No,155,Triple,5,720,1280,Android,4,16,2,8,2,Yes,Yes,Yes,Yes,Yes,3500,16000
Acer,Liquid E600,Yes,Yes,Yes,155,Micro,5,480,854,Android,4,4,1,8,2,Yes,Yes,Yes,Yes,Yes,2500,16000
Acer,Liquid Z200,Yes,Yes,No,130,Single,4,480,800,Android,2,4,1,2,0,Yes,Yes,Yes,Yes,Yes,1300,7200
Acer,Iconia Tab 8 A1-840FHD, N/A,No,No,360,No,8,120,1920,Android,4,16,2,5,2,Yes,Yes,Yes,Yes,No,4600,16000
Acer,Iconia Tab 7 A1-713,Yes,Yes,No,298,Yes,7,600,1024,Android,4,16,1,2,1,Yes,Yes,Yes,Yes,No,1000,8800
Acer,Iconia Tab 7 A1-713HD,Yes,Yes,No,298,Yes,7,800,1280,Android,4,16,1,5,1,Yes,Yes,Yes,Yes,No,1000,12000
Acer,Iconia One 7 B1-730, N/A,No,No,110,No,7,800,1280,Android,2,8,1,5,1,Yes,Yes,Yes,No,No,3700,7200
Acer,Liquid E3 Duo Plus,Yes,Yes,No,110,Dual,4.7,720,1280,Android,4,16,2,13,2,Yes,Yes,Yes,Yes,Yes,1000,19200
Acer,Liquid E3,Yes,Yes,No,134,Single,4.7,720,1280,Android,4,4,1,13,2,Yes,Yes,Yes,Yes,Yes,1000,16000
Acer,Liquid Z4,Yes,Yes,No,122,Single,4,480,800,Android,2,4,1,5,1.3,Yes,Yes,Yes,No,No,1630,8000
Acer,Iconia B1-721,Yes,Yes,No,323,Yes,7,600,1024,Android,2,16,1,0,0,Yes,Yes,Yes,Yes,No,2955,10400
Acer,Iconia B1-720, N/A,No,No,315,No,7,600,1024,Android,2,8,1,1,0,Yes,Yes,Yes,Yes,No,2955,8000
Acer,Iconia A1-830, N/A,No,No,380,No,7.9,768,1024,Android,2,16,1,5,2,Yes,Yes,Yes,Yes,No,4000,10400
Acer,Liquid Z5,Yes,Yes,No,150,Dual,5,480,854,Android,2,4,1,5,1,Yes,Yes,Yes,Yes,Yes,145,13600
Acer,Liquid S2,Yes,Yes,Yes,229,Nano,6,1080,1920,Android,4,16,2,13,2,Yes,Yes,Yes,Yes,Yes,3300,27200
